null_values_mdd,actual_value_mdd,null_values_aud,actual_value_aud,null_values_hc01,actual_value_hc01,null_values_hc02,actual_value_hc02
0.220022166,,0.242739781,,0.227729724,,0.175833154,
0.055595662,,0.060424353,,0.132971161,,0.079203998,
0.037483829,,0.084379473,,0.060465752,,0.084883383,
0.037075949,,0.069013246,,0.083942706,,0.041789256,
0.035518263,,0.056031678,,0.065603611,,0.03410801,
0.047721663,,0.102586444,,0.074423862,,0.042398374,
0.064728208,,0.12668587,,0.082077301,,0.088954781,
0.064375424,,0.11667898,,0.041855235,,0.056590971,
0.047753191,,0.12229864,,0.045897126,,0.059211771,
0.061753067,,0.102240541,,0.069510925,,0.102772509,
0.099431962,,0.152116735,,0.134847859,,0.20795358,
0.075562715,,0.086358464,,0.105763175,,0.066188063,
0.111190731,,0.122378291,,0.113183145,,0.076263609,
0.132023637,,0.254168729,,0.22042756,,0.204004256,
0.119519639,,0.096962154,,0.247232633,,0.18376828,
0.177192489,,0.237556518,,0.365722031,,0.243368769,
0.050959093,,0.069595359,,0.065459333,,0.080843383,
0.060972115,,0.108455597,,0.081768321,,0.078567492,
0.060330393,,0.054865415,,0.094837731,,0.120605483,
0.018212917,,0.061263435,,0.019436054,,0.053417528,
0.113134345,,0.137012984,,0.074528466,,0.101220426,
0.097364243,,0.134954028,,0.093808108,,0.088857981,
0.08993307,,0.124145691,,0.058850732,,0.104350113,
0.07511487,,0.149518094,,0.054551674,,0.089417054,
0.086338726,,0.218273777,,0.102333908,,0.078938136,
0.095470645,,0.060925426,,0.100938383,,0.172279121,
0.074413306,,0.066421902,,0.092667262,,0.137329361,
0.047748311,,0.08375644,,0.126874107,,0.063187977,
0.073291612,,0.095813261,,0.052538041,,0.073901048,
0.034607415,,0.082519815,,0.053480371,,0.067756519,
0.063132019,,0.106871833,,0.066862611,,0.085837302,
0.06900071,,0.138204946,,0.04848968,,0.075330302,
0.016077575,,0.082642884,,0.052649006,,0.080016186,
0.086487741,,0.089745868,,0.107646505,,0.099124033,
0.095053306,,0.110674083,,0.120596805,,0.092457801,
0.059552115,,0.106375566,,0.101802131,,0.088726629,
0.021693181,,0.085183589,,0.045831108,,0.070098529,
0.073695038,,0.147791458,,0.078505404,,0.124784571,
0.102816038,,0.096466598,,0.095250968,,0.116345654,
0.075556541,,0.16765272,,0.125616304,,0.090037208,
0.051005898,,0.101444881,,0.086511671,,0.113207763,
0.0469344,,0.078517207,,0.072188851,,0.080093101,
0.066967406,,0.045848959,,0.062296598,,0.124823665,
0.061360802,,0.103205124,,0.053169731,,0.040507944,
0.049600746,,0.090959636,,0.077221963,,0.102130888,
0.149051161,,0.156359836,,0.26217273,,0.257331665,
0.065264475,,0.157512285,,0.066845563,,0.072417982,
0.092647428,,0.171171494,,0.04913546,,0.110393855,
0.091403502,,0.182203703,,0.055270329,,0.123243637,
0.036481434,,0.120955772,,0.05386481,,0.044312718,
0.120380448,,0.200167387,,0.089717648,,0.108641142,
0.086727618,,0.083914069,,0.140646301,,0.180872074,
0.061351078,,0.082779811,,0.045932127,,0.075459195,
0.023614342,,0.07503907,,0.058547068,,0.034945016,
0.082502267,,0.115509407,,0.05969699,,0.119412999,
0.04093852,,0.047772841,,0.068898702,,0.137294604,
0.024425042,,0.050310422,,0.040641775,,0.0777132,
