all_between,all_within
-0.07397528,
-0.084282547,
-0.057488017,
-0.058327105,
-0.029715931,
-0.090330176,
-0.025488559,
-0.078215688,
-0.041321844,
-0.080276862,
-0.061079629,
-0.003884515,
0.021764085,
0.01908954,
0.011723289,
0.014639936,
0.018393271,
0.016662857,
0.028047323,
0.010961222,
0.033693176,
0.037098423,
-0.058295481,
-0.031337567,
-0.048291385,
-0.056941029,
-0.055770811,
-0.030747959,
-0.052162997,
-0.05370187,
-0.0154542,
-0.02079712,
-0.043652087,
-0.021564929,
-0.010654405,
-0.045192324,
-0.03755581,
-0.033668298,
-0.015688,
-0.020189278,
-0.00728923,
-0.053991392,
0.007282633,
-0.04788569,
-0.008335259,
-0.047190614,
-0.021174524,
0.017673263,
0.039941095,
0.049166992,
0.042025503,
0.043722562,
0.036019176,
0.036482681,
0.027038952,
0.001791691,
0.049421523,
0.059247706,
-0.025988514,
-0.00601787,
-0.047762357,
-0.059311356,
-0.027980728,
-0.033827864,
-0.001234229,
-0.022473341,
0.02523678,
0.036974151,
0.007405563,
0.033295192,
0.013281508,
-0.105396651,
-0.067801215,
-0.079063155,
-0.06667088,
-0.074193552,
-0.027833868,
-0.084666729,
-0.019143278,
-0.077047981,
-0.032361086,
-0.081859425,
-0.066551216,
-0.012929747,
0.005958369,
0.00738363,
0.00935445,
0.000112451,
0.02781065,
0.007413853,
-0.010810824,
-0.01368616,
0.019731726,
0.028269652,
-0.067572996,
-0.026824402,
-0.040737718,
-0.064395346,
-0.057299159,
-0.030788537,
-0.034912419,
-0.051649116,
-0.011792797,
0.005191725,
-0.011633905,
0.002870116,
-0.004541348,
-0.061132006,
-0.038720474,
-0.047709834,
-0.037283089,
-0.028868722,
-0.018648218,
-0.068801552,
-0.001267608,
-0.045924805,
-0.023172952,
-0.04801698,
-0.030836785,
-0.010380758,
0.042289067,
0.020351166,
0.015989959,
0.026974691,
0.015685916,
0.002275232,
0.029150022,
0.003005441,
0.032680329,
0.042574797,
-0.06955491,
-0.000349539,
-0.032824963,
-0.043323785,
-0.00940636,
-0.010224955,
-0.018591411,
-0.029101785,
0.032917224,
0.008869621,
-0.001746852,
0.008949936,
-0.012017907,
-0.081620269,
-0.063264102,
-0.072543927,
-0.053105623,
-0.055653471,
-0.028889183,
-0.085618399,
-0.012959476,
-0.069312125,
-0.035830885,
-0.07332807,
-0.050060835,
-0.014731344,
0.038475346,
0.004956802,
0.00237213,
0.006615221,
0.018251754,
-0.003419501,
0.013881293,
-0.003251935,
0.023289155,
0.033501372,
-0.093707077,
-0.033654001,
-0.049738828,
-0.059201334,
-0.048198067,
-0.034884728,
-0.049046755,
-0.044751178,
-0.008347629,
-0.020525534,
-0.016219048,
-0.017208502,
-0.025812896,
-0.094715148,
-0.08203242,
-0.095236711,
-0.058730882,
-0.063284613,
-0.018517854,
-0.086611122,
-0.023989465,
-0.080444388,
-0.031984478,
-0.098621748,
-0.070403628,
0.002132232,
0.018474529,
0.029714404,
0.020827293,
0.020487951,
0.032914527,
0.025931826,
0.018222423,
0.019937087,
0.034729149,
0.042485606,
-0.060215127,
-0.043818291,
-0.056188334,
-0.074228413,
-0.053873267,
-0.057472385,
-0.048298907,
-0.068809837,
-0.023631115,
-0.022263227,
-0.017910579,
-0.025322497,
-0.009561324,
-0.068246759,
-0.066831477,
-0.073560305,
-0.044994216,
-0.051364262,
-0.020884031,
-0.06883046,
-0.01135117,
-0.070839457,
-0.032236714,
-0.074713536,
-0.048797205,
0.018161161,
0.039829884,
0.022534609,
0.025916662,
0.015539208,
0.040175859,
0.032950304,
0.019017998,
0.01166451,
0.040490605,
0.050594378,
-0.054102737,
-0.026569616,
-0.04960449,
-0.075756505,
-0.050909992,
-0.0549291,
-0.024174696,
-0.049710207,
-0.01404892,
0.010118952,
0.007115023,
0.012882832,
-0.020747069,
-0.077328339,
-0.056954991,
-0.078222513,
-0.053511821,
-0.055514812,
-0.030126935,
-0.089866668,
-0.023843374,
-0.071711548,
-0.040185936,
-0.068711974,
-0.050559197,
-0.024087738,
0.010611528,
0.011145408,
0.002794706,
0.009705455,
0.006238137,
0.001018037,
0.010198556,
-0.013481732,
0.023504425,
0.02624804,
-0.072657421,
0.010059798,
-0.022001341,
-0.033253022,
-0.017814079,
0.001877449,
-0.02427694,
-0.02397462,
0.028550165,
0.019767798,
-0.005167836,
0.0166876,
0.014496691,
-0.09000434,
-0.082984835,
-0.084370375,
-0.069344305,
-0.079205923,
-0.048622407,
-0.08668296,
-0.032621637,
-0.093676679,
-0.049720071,
-0.083775163,
-0.067529194,
-0.01718715,
-0.002770474,
0.002999537,
-0.000366309,
-0.005149045,
0.01411605,
-0.004661441,
-0.024232754,
-0.016085818,
0.016642105,
0.014683294,
-0.071937464,
-0.006221305,
-0.021789519,
-0.055128116,
-0.033541225,
-0.010637559,
-0.018325163,
-0.021071183,
0.00328511,
0.047065131,
0.015909117,
0.039896686,
0.007774483,
-0.076198049,
-0.066324987,
-0.068786412,
-0.031282194,
-0.049701087,
-0.028690724,
-0.063670963,
-0.01278659,
-0.077171229,
-0.036496229,
-0.065961771,
-0.044443868,
-0.002145267,
0.010985753,
-0.000403177,
-0.0011575,
0.005866237,
0.000598925,
-0.011302475,
0.003947045,
0.002897435,
0.02282148,
-0.002633236,
-0.051599935,
-0.034791049,
-0.020301895,
-0.034065958,
-0.042852663,
-0.013906809,
-0.023963979,
-0.013841914,
-0.033027757,
0.034822494,
-0.007031831,
0.007033265,
0.03839615,
0.048149217,
0.082928024,
0.077061281,
0.072496057,
0.07427904,
0.046419848,
0.082261503,
0.078046456,
0.055099942,
0.080787748,
0.050592635,
0.058460157,
-0.054973979,
-0.001749452,
-0.046346199,
-0.030340379,
-0.04713222,
-0.008903221,
-0.060190056,
-0.059824072,
-0.061254449,
-0.057080742,
-0.011646953,
-0.088450871,
-0.005637532,
0.011934248,
0.024349861,
-0.009617341,
0.027380215,
-0.001721759,
-0.003951829,
0.0329771,
-0.00989062,
0.090655826,
-0.008102199,
-0.06446515,
-0.043598428,
-0.026226033,
-0.064406298,
-0.072734222,
-0.079387873,
-0.034532662,
-0.099233039,
-0.044296026,
-0.061024319,
-0.031564198,
-0.063125446,
-0.037901465,
0.024594693,
0.03741961,
0.031846408,
0.032656036,
0.023265669,
0.051631346,
0.010668277,
-0.002205829,
-0.041494779,
-0.005391306,
0.073825888,
-0.080173545,
-0.011609508,
-0.068054102,
-0.006894446,
-0.021266162,
-0.025771039,
-0.065732867,
-0.041006498,
-0.016509833,
-0.047979191,
-0.028818361,
-0.063558996,
0.001541671,
-0.02845059,
-0.009782269,
-0.016853794,
-0.064141877,
-0.062519893,
-0.006460276,
-0.067178749,
-0.012409776,
-0.018652264,
0.001591822,
-0.041092515,
0.008012948,
0.040224906,
0.042886816,
0.039687116,
0.071174875,
0.05026643,
0.051701635,
0.032666266,
-0.000575699,
-0.015401809,
0.003600095,
0.075011283,
-0.069634818,
-0.030619074,
-0.063298933,
-0.041314308,
-0.043076243,
-0.045991246,
-0.053542037,
-0.050559461,
-0.036896151,
-0.078555159,
-0.068876751,
-0.045014374,
0.023116309,
0.011703232,
0.021106182,
-0.009079072,
-0.013724533,
-0.017810538,
0.003769589,
-0.04444674,
0.005438452,
-0.002372256,
0.008246972,
-0.01721062,
0.018414566,
-0.0335625,
